IS_MEMBER,AVG_DURATION,COUNT,date,temp_min,temp_avg,temp_max,rain,snow,wind_avg,wind_2min_peak
false,21.910153846,3250,2020-10-01,8.3,11.6,15.0,5.3,0,3.8,12.5
false,34.679213164,5287,2020-10-02,5.6,9.4,12.8,0.0,0,3.1,6.7
false,30.586472727,6875,2020-10-03,7.8,10.0,13.3,2.8,0,2.2,5.4
false,30.699568594,5795,2020-10-04,4.4,9.5,13.9,0.0,0,3.8,8.1
false,27.562370062,3848,2020-10-05,3.3,9.2,17.2,0.0,0,4.7,9.8
false,33.006977183,5303,2020-10-06,11.1,15.7,23.9,0.0,0,5.1,8.1
false,30.18382714,6109,2020-10-07,11.7,19.5,24.4,0.0,0,4.2,9.4
false,26.071590711,5727,2020-10-08,10.0,15.2,21.1,0.0,0,2.3,6.7
false,31.483142425,9254,2020-10-09,11.1,17.2,27.8,0.0,0,5.3,11.2
false,39.608161765,13600,2020-10-10,13.9,20.9,25.0,0.0,0,6.0,10.3
false,37.186259245,10276,2020-10-11,13.3,16.3,20.6,0.0,0,3.9,7.2
false,25.967536814,2988,2020-10-12,10.0,16.9,19.4,2.8,0,5.1,11.2
false,26.817744419,5196,2020-10-13,7.8,13.8,22.8,0.0,0,5.3,13.0
false,26.059184481,5052,2020-10-14,8.3,15.5,26.1,0.0,0,6.0,14.3
false,21.283678756,3860,2020-10-15,5.0,14.6,17.8,0.0,0,5.1,11.6
false,40.83446273,4132,2020-10-16,2.8,7.2,11.7,0.3,0,4.2,11.6
false,33.821644151,6958,2020-10-17,2.8,9.5,18.3,0.0,0,6.4,14.3
false,27.562364425,1844,2020-10-18,4.4,11.8,15.6,4.6,0,3.6,10.3
false,24.463360882,1815,2020-10-19,3.3,5.5,10.0,1.3,0,3.8,8.1
false,30.63869258,2264,2020-10-20,3.3,6.3,11.7,4.8,0,3.6,6.7
false,21.912707182,2715,2020-10-21,8.3,10.4,15.0,9.7,0,3.6,8.1
false,29.171055593,4443,2020-10-22,8.3,12.9,25.6,42.4,0,4.6,8.9
false,20.08615222,1892,2020-10-23,3.3,16.1,22.2,16.5,0,5.4,9.8
false,28.943108057,5238,2020-10-24,1.1,5.0,9.4,0.0,0,3.5,6.3
false,30.346415328,3236,2020-10-25,3.9,5.6,8.3,0.0,0,5.6,10.7
false,16.126031508,1333,2020-10-26,1.1,3.3,3.9,1.5,0,4.2,8.1
false,20.987694832,1219,2020-10-27,0.6,2.1,3.3,0.8,0,2.0,4.0
false,24.165697674,2408,2020-10-28,-0.5,3.9,10.6,0.0,0,3.3,7.6
false,16.470772443,1916,2020-10-29,1.7,7.0,9.4,0.0,0,7.2,14.3
false,20.304054054,2664,2020-10-30,-0.5,2.9,6.7,0.0,0,2.7,6.7
false,30.485529954,5425,2020-10-31,-1.0,5.0,15.0,0.0,0,6.2,12.5
false,28.516309888,1962,2020-11-01,-1.0,7.2,12.8,0.0,0,7.2,14.3
false,23.395067942,1987,2020-11-02,-2.1,2.7,10.6,0.0,0,4.8,10.7
false,32.05505341,3651,2020-11-03,3.9,10.1,20.6,0.0,0,4.4,8.9
