total_count,monthly_avg_duration,year_month,type,is_member
78447,29.934374106,2020-10,docked_bike,false
152515,13.962724373,2020-10,docked_bike,true
63314,18.480745312,2020-10,electric_bike,false
85437,12.075857354,2020-10,electric_bike,true
45306,30.647446728,2020-11,docked_bike,false
103353,13.468928887,2020-11,docked_bike,true
41333,18.317676882,2020-11,electric_bike,false
65059,11.814011158,2020-11,electric_bike,true
11199,23.982478674,2020-12,classic_bike,false
58639,12.511972718,2020-12,classic_bike,true
4890,38.909073025,2020-12,docked_bike,false
7695,12.148582412,2020-12,docked_bike,true
13535,15.824340869,2020-12,electric_bike,false
33486,11.662309015,2020-12,electric_bike,true
8188,22.938332431,2021-1,classic_bike,false
52835,13.198637398,2021-1,classic_bike,true
2071,38.92707981,2021-1,docked_bike,false
1,2,2021-1,docked_bike,true
7556,14.382545944,2021-1,electric_bike,false
24727,11.612873523,2021-1,electric_bike,true
5588,38.880175076,2021-2,classic_bike,false
28746,18.942013327,2021-2,classic_bike,true
1239,45.627191973,2021-2,docked_bike,false
3080,15.826793351,2021-2,electric_bike,false
9880,15.21863938,2021-2,electric_bike,true
45088,26.176042266,2021-3,classic_bike,false
105602,13.308032431,2021-3,classic_bike,true
15483,45.719838332,2021-3,docked_bike,false
22425,19.434809196,2021-3,electric_bike,false
36763,12.848062905,2021-3,electric_bike,true
69938,26.282273795,2021-4,classic_bike,false
141773,14.035229923,2021-4,classic_bike,true
24463,47.188894639,2021-4,docked_bike,false
40313,20.150573519,2021-4,electric_bike,false
55680,13.912526206,2021-4,electric_bike,true
122388,27.629417889,2021-5,classic_bike,false
182290,14.297769098,2021-5,classic_bike,true
42843,49.810234978,2021-5,docked_bike,false
87707,20.966679666,2021-5,electric_bike,false
87573,13.461726154,2021-5,electric_bike,true
185567,27.133668301,2021-6,classic_bike,false
242933,14.35758616,2021-6,classic_bike,true
51125,52.920512817,2021-6,docked_bike,false
127730,21.256223461,2021-6,electric_bike,false
109679,13.658217216,2021-6,electric_bike,true
238366,25.095841936,2021-7,classic_bike,false
261154,13.918124153,2021-7,classic_bike,true
57160,48.203498072,2021-7,docked_bike,false
139837,20.959975529,2021-7,electric_bike,false
112633,13.745707716,2021-7,electric_bike,true
227270,24.153475713,2021-8,classic_bike,false
269015,13.5151252,2021-8,classic_bike,true
44716,47.885991262,2021-8,docked_bike,false
135077,20.680731092,2021-8,electric_bike,false
116350,13.839340646,2021-8,electric_bike,true
193319,23.239780847,2021-9,classic_bike,false
263028,13.252815159,2021-9,classic_bike,true
35020,46.044519026,2021-9,docked_bike,false
130529,19.341421914,2021-9,electric_bike,false
122874,13.417896935,2021-9,electric_bike,true
