year_week,is_member,weekly_count,weekly_avg_duration,weekly_temp_min,weekly_temp_avg,weekly_temp_max,weekly_wind_avg,weekly_rain_total,weekly_snow_total
2020-40,false,21188,25.62,6.53,10.13,13.75,3.23,8.1,0
2020-40,true,31032,13.62,6.53,10.13,13.75,3.23,8.1,0
2020-41,false,54067,28.55,10.63,16.29,22.86,4.5,0.0,0
2020-41,true,71228,14.42,10.63,16.29,22.86,4.5,0.0,0
2020-42,false,29971,25.09,5.87,12.76,18.81,5.1,7.7,0
2020-42,true,53119,13.5,5.87,12.76,18.81,5.1,7.7,0
2020-43,false,21578,22.72,4.5,8.83,14.6,4.3,74.7,0
2020-43,true,45358,12.43,4.5,8.83,14.6,4.3,74.7,0
2020-44,false,16916,20.29,0.06,4.49,8.81,4.69,2.3,0
2020-44,true,41084,12.23,0.06,4.49,8.81,4.69,2.3,0
2020-45,false,41356,28.51,8.51,13.8,20.87,4.56,0.0,0
2020-45,true,59518,14.12,8.51,13.8,20.87,4.56,0.0,0
2020-46,false,17718,22.59,3.53,9.84,14.13,5.5,17.0,0
2020-46,true,41014,11.82,3.53,9.84,14.13,5.5,17.0,0
2020-47,false,14642,22.08,3.1,7.11,10.96,5.06,0.0,0
2020-47,true,37589,12.57,3.1,7.11,10.96,5.06,0.0,0
2020-48,false,10314,26.25,2.1,5.16,8.24,4.0,26.6,18
2020-48,true,23193,13.35,2.1,5.16,8.24,4.0,26.6,18
2020-49,false,7954,20.52,-1.67,1.3,5.1,4.01,0.0,0
2020-49,true,27344,11.85,-1.67,1.3,5.1,4.01,0.0,0
2020-50,false,7781,20.58,-0.11,3.37,6.51,3.89,42.4,0
2020-50,true,26629,12.26,-0.11,3.37,6.51,3.89,42.4,0
2020-51,false,6836,20.82,-2.87,-0.01,2.54,3.96,0.0,0
2020-51,true,23886,11.8,-2.87,-0.01,2.54,3.96,0.0,0
2020-52,false,5558,25.09,-5.63,-0.97,4.0,5.49,4.3,5
2020-52,true,16600,12.47,-5.63,-0.97,4.0,5.49,4.3,5
2020-53,false,2145,23.92,-6.15,-1.85,0.3,4.13,18.0,66
2020-53,true,8590,12.51,-6.15,-1.85,0.3,4.13,18.0,66
2021-01,false,5484,21.35,-1.89,-0.29,1.77,3.34,0.5,5
2021-01,true,21080,12.79,-1.89,-0.29,1.77,3.34,0.5,5
2021-02,false,4807,20.3,-1.91,0.24,2.63,4.01,7.0,36
2021-02,true,20482,12.34,-1.91,0.24,2.63,4.01,7.0,36
2021-03,false,3990,19.52,-6.97,-3.59,0.44,4.43,1.8,46
2021-03,true,18988,11.55,-6.97,-3.59,0.44,4.43,1.8,46
2021-04,false,2157,22.33,-5.77,-3.0,-0.53,5.6,30.0,427
2021-04,true,12750,14,-5.77,-3.0,-0.53,5.6,30.0,427
2021-05,false,1414,22.73,-11.17,-6.64,-3.67,4.87,9.7,79
2021-05,true,9605,15.84,-11.17,-6.64,-3.67,4.87,9.7,79
2021-06,false,1053,30.62,-16.89,-13.27,-9.5,4.04,7.2,224
2021-06,true,6615,16.7,-16.89,-13.27,-9.5,4.04,7.2,224
2021-07,false,784,49.07,-12.99,-9.06,-4.13,3.94,14.2,246
2021-07,true,4149,24.53,-12.99,-9.06,-4.13,3.94,14.2,246
2021-08,false,6656,29.08,-0.81,3.33,7.27,4.49,0.8,0
2021-08,true,18257,14.35,-0.81,3.33,7.27,4.49,0.8,0
2021-09,false,10181,25.94,-3.23,2.01,7.86,3.66,0.0,0
2021-09,true,25406,12.86,-3.23,2.01,7.86,3.66,0.0,0
2021-10,false,22004,29.82,5.01,10.24,15.97,5.37,4.1,0
2021-10,true,36803,13.8,5.01,10.24,15.97,5.37,4.1,0
2021-11,false,20841,25.41,0.43,3.97,8.23,5.76,16.7,46
2021-11,true,28266,12.9,0.43,3.97,8.23,5.76,16.7,46
2021-12,false,21482,27.56,4.93,9.97,14.13,5.03,11.0,0
2021-12,true,35276,13.21,4.93,9.97,14.13,5.03,11.0,0
2021-13,false,34264,31.68,1.31,7.84,14.93,5.44,0.0,0
2021-13,true,41897,14.45,1.31,7.84,14.93,5.44,0.0,0
2021-14,false,32226,30.55,11.91,16.14,20.4,4.2,16.0,0
2021-14,true,45191,14.46,11.91,16.14,20.4,4.2,16.0,0
