day,IS_MEMBER,COUNT,AVG_DURATION,MIN_DURATION,MAX_DURATION,STDDEV_DURATION,year_month,dayofweek,weeknum
2020-10-01,false,3247,20.545426548,1,1255,43.543107044708456,2020-10,4,40
2020-10-01,true,7730,12.22160414,1,827,16.517337287284636,2020-10,4,40
2020-10-02,false,5280,25.610037879,1,1259,52.803315846568808,2020-10,5,40
2020-10-02,true,8997,13.164610426,1,1207,19.833168838864395,2020-10,5,40
2020-10-03,false,6871,27.575316548,1,1221,42.51630586662818,2020-10,6,40
2020-10-03,true,7483,14.35560604,1,1000,22.239787381338722,2020-10,6,40
2020-10-04,false,5790,28.73851468,1,1432,50.496591159126041,2020-10,7,40
2020-10-04,true,6822,14.75608326,1,786,18.751089570784217,2020-10,7,40
2020-10-05,false,3845,23.667360208,1,1295,37.587001992433805,2020-10,1,41
2020-10-05,true,8415,12.937849079,1,873,17.768079074425806,2020-10,1,41
2020-10-06,false,5300,25.358113208,1,1382,44.185633926612596,2020-10,2,41
2020-10-06,true,10451,13.761936657,1,1242,20.796197703079418,2020-10,2,41
2020-10-07,false,6099,25.696179702,1,1335,46.340962840885588,2020-10,3,41
2020-10-07,true,11038,14.098387389,1,1204,20.785052434854535,2020-10,3,41
2020-10-08,false,5722,24.745893044,1,1342,48.859181286944462,2020-10,4,41
2020-10-08,true,10407,13.359565677,1,1046,19.251279235645313,2020-10,4,41
2020-10-09,false,9247,30.047474857,1,1426,52.287173771302321,2020-10,5,41
2020-10-09,true,11192,15.022605432,1,1091,26.463579840457431,2020-10,5,41
2020-10-10,false,13588,34.990653518,1,1283,49.709780195208943,2020-10,6,41
2020-10-10,true,10681,16.002995974,1,1198,20.25850609035847,2020-10,6,41
2020-10-11,false,10266,35.373076174,1,1259,50.657586109252854,2020-10,7,41
2020-10-11,true,9044,15.76415303,1,493,16.597552941495767,2020-10,7,41
2020-10-12,false,2982,22.903085178,1,1327,45.739277280278365,2020-10,1,42
2020-10-12,true,6555,12.243630816,1,965,16.380086520358429,2020-10,1,42
2020-10-13,false,5193,25.633545157,1,1374,49.977698928863084,2020-10,2,42
2020-10-13,true,10080,13.509722222,1,1211,19.451427721353259,2020-10,2,42
2020-10-14,false,5049,24.700534759,1,1382,45.938308905587704,2020-10,3,42
2020-10-14,true,9984,13.471053686,1,1419,19.938687154480185,2020-10,3,42
2020-10-15,false,3857,19.836919886,1,931,34.081862522793848,2020-10,4,42
2020-10-15,true,8461,12.134381279,1,803,14.942248706844888,2020-10,4,42
2020-10-16,false,4103,29.532537168,1,1432,81.621552588832046,2020-10,5,42
2020-10-16,true,7461,16.844122772,1,1430,56.946036333701279,2020-10,5,42
2020-10-17,false,6948,30.143350604,1,1392,59.528145115161671,2020-10,6,42
2020-10-17,true,7296,13.862390351,1,1041,21.689981467041616,2020-10,6,42
2020-10-18,false,1839,22.910821098,1,1123,47.396407599337472,2020-10,7,42
2020-10-18,true,3282,12.446374162,1,809,25.744496828582506,2020-10,7,42
2020-10-19,false,1812,21.146799117,1,1420,55.993598614313385,2020-10,1,43
2020-10-19,true,5535,11.657633243,1,1293,21.490109130103434,2020-10,1,43
2020-10-20,false,2256,17.644946809,1,227,20.48555755738386,2020-10,2,43
2020-10-20,true,6834,11.48697688,1,298,10.891282669316768,2020-10,2,43
2020-10-21,false,2715,21.912707182,1,911,34.850093661487364,2020-10,3,43
2020-10-21,true,7392,12.322104978,1,993,17.414789719669933,2020-10,3,43
2020-10-22,false,4437,26.711967546,1,1271,53.483822283049356,2020-10,4,43
2020-10-22,true,8492,13.744936411,1,630,14.709630771409239,2020-10,4,43
