day,IS_MEMBER,COUNT,AVG_DURATION,temp_min,temp_avg,temp_max,rain,snow,wind_avg,wind_2min_peak
2020-10-01,false,3247,20.545426548,8.3,11.6,15.0,5.3,0,3.8,12.5
2020-10-01,true,7730,12.22160414,8.3,11.6,15.0,5.3,0,3.8,12.5
2020-10-02,false,5280,25.610037879,5.6,9.4,12.8,0.0,0,3.1,6.7
2020-10-02,true,8997,13.164610426,5.6,9.4,12.8,0.0,0,3.1,6.7
2020-10-03,false,6871,27.575316548,7.8,10.0,13.3,2.8,0,2.2,5.4
2020-10-03,true,7483,14.35560604,7.8,10.0,13.3,2.8,0,2.2,5.4
2020-10-04,false,5790,28.73851468,4.4,9.5,13.9,0.0,0,3.8,8.1
2020-10-04,true,6822,14.75608326,4.4,9.5,13.9,0.0,0,3.8,8.1
2020-10-05,false,3845,23.667360208,3.3,9.2,17.2,0.0,0,4.7,9.8
2020-10-05,true,8415,12.937849079,3.3,9.2,17.2,0.0,0,4.7,9.8
2020-10-06,false,5300,25.358113208,11.1,15.7,23.9,0.0,0,5.1,8.1
2020-10-06,true,10451,13.761936657,11.1,15.7,23.9,0.0,0,5.1,8.1
2020-10-07,false,6099,25.696179702,11.7,19.5,24.4,0.0,0,4.2,9.4
2020-10-07,true,11038,14.098387389,11.7,19.5,24.4,0.0,0,4.2,9.4
2020-10-08,false,5722,24.745893044,10.0,15.2,21.1,0.0,0,2.3,6.7
2020-10-08,true,10407,13.359565677,10.0,15.2,21.1,0.0,0,2.3,6.7
2020-10-09,false,9247,30.047474857,11.1,17.2,27.8,0.0,0,5.3,11.2
2020-10-09,true,11192,15.022605432,11.1,17.2,27.8,0.0,0,5.3,11.2
2020-10-10,false,13588,34.990653518,13.9,20.9,25.0,0.0,0,6.0,10.3
2020-10-10,true,10681,16.002995974,13.9,20.9,25.0,0.0,0,6.0,10.3
2020-10-11,false,10266,35.373076174,13.3,16.3,20.6,0.0,0,3.9,7.2
2020-10-11,true,9044,15.76415303,13.3,16.3,20.6,0.0,0,3.9,7.2
2020-10-12,false,2982,22.903085178,10.0,16.9,19.4,2.8,0,5.1,11.2
2020-10-12,true,6555,12.243630816,10.0,16.9,19.4,2.8,0,5.1,11.2
2020-10-13,false,5193,25.633545157,7.8,13.8,22.8,0.0,0,5.3,13.0
2020-10-13,true,10080,13.509722222,7.8,13.8,22.8,0.0,0,5.3,13.0
2020-10-14,false,5049,24.700534759,8.3,15.5,26.1,0.0,0,6.0,14.3
2020-10-14,true,9984,13.471053686,8.3,15.5,26.1,0.0,0,6.0,14.3
2020-10-15,false,3857,19.836919886,5.0,14.6,17.8,0.0,0,5.1,11.6
2020-10-15,true,8461,12.134381279,5.0,14.6,17.8,0.0,0,5.1,11.6
2020-10-16,false,4103,29.532537168,2.8,7.2,11.7,0.3,0,4.2,11.6
2020-10-16,true,7461,16.844122772,2.8,7.2,11.7,0.3,0,4.2,11.6
2020-10-17,false,6948,30.143350604,2.8,9.5,18.3,0.0,0,6.4,14.3
2020-10-17,true,7296,13.862390351,2.8,9.5,18.3,0.0,0,6.4,14.3
2020-10-18,false,1839,22.910821098,4.4,11.8,15.6,4.6,0,3.6,10.3
2020-10-18,true,3282,12.446374162,4.4,11.8,15.6,4.6,0,3.6,10.3
2020-10-19,false,1812,21.146799117,3.3,5.5,10.0,1.3,0,3.8,8.1
2020-10-19,true,5535,11.657633243,3.3,5.5,10.0,1.3,0,3.8,8.1
2020-10-20,false,2256,17.644946809,3.3,6.3,11.7,4.8,0,3.6,6.7
2020-10-20,true,6834,11.48697688,3.3,6.3,11.7,4.8,0,3.6,6.7
