station_id,dayofweek,hour,starts,ends
13001,1,0,127,71
13008,1,0,186,154
13016,1,0,76,62
13017,1,0,59,75
13021,1,0,58,65
13022,1,0,118,165
13033,1,0,123,127
13042,1,0,83,77
13045,1,0,165,99
13050,1,0,154,116
13053,1,0,112,106
13059,1,0,127,129
13061,1,0,182,166
13063,1,0,71,90
13068,1,0,68,59
13071,1,0,109,101
13084,1,0,96,86
13085,1,0,82,86
13132,1,0,80,83
13133,1,0,143,126
13136,1,0,123,95
13137,1,0,106,128
13146,1,0,147,146
13158,1,0,43,70
13179,1,0,150,149
13191,1,0,54,80
13192,1,0,159,78
13193,1,0,231,187
13196,1,0,41,64
13221,1,0,157,118
13224,1,0,70,78
13229,1,0,61,64
13235,1,0,91,65
13243,1,0,80,89
13247,1,0,71,66
13263,1,0,65,73
13265,1,0,49,93
13276,1,0,41,59
13277,1,0,91,102
13278,1,0,102,81
13288,1,0,58,57
13289,1,0,47,81
13290,1,0,53,68
13294,1,0,38,54
13296,1,0,32,72
13300,1,0,95,87
13303,1,0,86,109
13323,1,0,67,61
13325,1,0,128,90
13389,1,0,25,75
13430,1,0,183,144
15529,1,0,60,56
15530,1,0,48,66
15535,1,0,64,61
15648,1,0,25,56
331,1,0,67,67
620,1,0,50,61
623,1,0,78,123
632,1,0,245,208
KA1503000012,1,0,68,63
KA1503000015,1,0,43,56
KA1503000041,1,0,67,96
KA1503000043,1,0,79,94
KA1504000103,1,0,61,56
KA1504000133,1,0,105,101
KA1504000134,1,0,57,64
KA1504000135,1,0,301,227
LP-,1,0,32,83
RN-,1,0,67,68
SL-005,1,0,118,138
SL-008,1,0,60,114
SL-011,1,0,30,83
TA1305000002,1,0,63,110
TA1305000003,1,0,134,122
TA1305000010,1,0,41,61
TA1305000011,1,0,166,136
TA1305000014,1,0,108,106
TA1305000020,1,0,44,82
TA1305000022,1,0,60,63
TA1305000032,1,0,28,71
TA1305000034,1,0,123,73
TA1305000037,1,0,112,79
TA1305000041,1,0,174,138
TA1306000003,1,0,158,115
TA1306000008,1,0,42,59
TA1306000012,1,0,170,138
TA1306000013,1,0,146,107
TA1306000014,1,0,101,131
TA1306000015,1,0,142,81
TA1306000016,1,0,73,56
TA1306000026,1,0,80,81
TA1306000029,1,0,90,123
TA1306000032,1,0,50,95
TA1307000001,1,0,75,129
TA1307000006,1,0,107,87
TA1307000038,1,0,98,98
TA1307000039,1,0,221,215
TA1307000041,1,0,42,64
TA1307000052,1,0,181,143
TA1307000061,1,0,64,87
TA1307000062,1,0,33,73
TA1307000064,1,0,120,106
TA1307000107,1,0,55,60
TA1307000113,1,0,93,101
TA1307000117,1,0,139,179
TA1307000120,1,0,159,113
TA1307000124,1,0,46,72
TA1307000126,1,0,144,89
TA1307000127,1,0,119,106
TA1307000128,1,0,102,97
TA1307000131,1,0,96,80
TA1307000134,1,0,238,147
TA1307000136,1,0,104,114
TA1307000142,1,0,127,163
TA1307000150,1,0,39,76
TA1307000151,1,0,174,151
TA1307000163,1,0,49,54
TA1307000166,1,0,65,57
TA1308000019,1,0,112,100
TA1308000022,1,0,42,67
TA1308000029,1,0,68,116
TA1308000049,1,0,280,213
TA1308000050,1,0,316,258
TA1309000002,1,0,76,76
TA1309000006,1,0,90,71
TA1309000010,1,0,63,104
TA1309000019,1,0,101,143
TA1309000023,1,0,153,121
TA1309000024,1,0,115,95
TA1309000025,1,0,216,152
TA1309000033,1,0,97,98
TA1309000036,1,0,74,78
TA1309000039,1,0,27,76
TA1309000049,1,0,53,70
TA1309000058,1,0,208,159
