station_id,dayofweek,hour,is_member,starts,ends,diff,lat,lng
KA1503000014,1,8,false,17,14,-3,41.7851,-87.60108
TA1309000011,1,8,false,5,17,12,41.78873,-87.60131
KA1503000071,1,8,false,6,10,4,41.79148,-87.59988
KA1504000076,1,8,false,9,10,1,41.7943,-87.60145
TA1308000009,1,8,false,12,5,-7,41.79522,-87.58075
KA1503000052,1,8,false,12,4,-8,41.79935,-87.60097
KA1503000059,1,8,false,11,7,-4,41.79952,-87.58643
TA1309000037,1,8,false,11,8,-3,41.79957,-87.59474
13398,1,8,false,19,8,-11,41.80256,-87.59035
TA1308000035,1,8,false,7,11,4,41.80944,-87.59188
KA1503000032,1,8,false,15,1,-14,41.81912,-87.64328
TA1307000048,1,8,false,11,4,-7,41.83855,-87.60821
TA1305000004,1,8,false,14,13,-1,41.8514,-87.61884
13102,1,8,false,14,4,-10,41.85762,-87.61942
13150,1,8,false,12,5,-7,41.85783,-87.62455
13164,1,8,false,12,4,-8,41.85818,-87.65648
SL-012,1,8,false,14,3,-11,41.86038,-87.62581
TA1307000124,1,8,false,17,12,-5,41.86411,-87.62372
TA1305000002,1,8,false,23,26,3,41.86721,-87.62597
15544,1,8,false,12,33,21,41.86723,-87.61536
SL-005,1,8,false,33,18,-15,41.8679,-87.62304
13285,1,8,false,1,10,9,41.86928,-87.67372
TA1309000010,1,8,false,31,12,-19,41.87074,-87.62574
TA1309000064,1,8,false,5,10,5,41.87127,-87.67369
TA1307000130,1,8,false,2,10,8,41.87178,-87.65103
SL-008,1,8,false,28,11,-17,41.87209,-87.62956
13332,1,8,false,22,5,-17,41.87219,-87.6615
SL-011,1,8,false,13,7,-6,41.87256,-87.63356
623,1,8,false,37,11,-26,41.87272,-87.62399
KA1504000104,1,8,false,5,15,10,41.87296,-87.66912
SL-007,1,8,false,12,9,-3,41.87404,-87.6277
13028,1,8,false,10,11,1,41.87475,-87.64981
SL-010,1,8,false,6,23,17,41.87501,-87.63309
15541,1,8,false,16,9,-7,41.8758,-87.62086
TA1305000010,1,8,false,24,12,-12,41.87623,-87.62444
624,1,8,false,8,30,22,41.87626,-87.62923
