station_id,dayofweek,hour,is_member,starts,ends,diff,lat,lng
20112,1,9,false,1,1,0,41.70717,-87.61842
20238,1,9,false,5,1,-4,41.7187,-87.597
20106,1,9,false,1,2,1,41.71897,-87.60833
20228,1,9,false,1,1,0,41.72222,-87.57897
20237,1,9,false,1,1,0,41.72616,-87.56634
20119,1,9,false,1,1,0,41.72682,-87.6543
595,1,9,false,1,3,2,41.73663,-87.62264
20230,1,9,false,1,1,0,41.73716,-87.57272
20229,1,9,false,2,1,-1,41.73734,-87.54849
585,1,9,false,2,1,-1,41.74344,-87.60485
576,1,9,false,1,1,0,41.75129,-87.59752
KA1503000028,1,9,false,1,1,0,41.75712,-87.57585
KA1503000049,1,9,false,2,1,-1,41.75788,-87.54938
571,1,9,false,1,1,0,41.75836,-87.61415
KA1503000019,1,9,false,1,1,0,41.75867,-87.5869
11,1,9,false,1,1,0,41.76662,-87.57646
KA1503000018,1,9,false,4,6,2,41.76663,-87.57645
KA1503000029,1,9,false,4,2,-2,41.77364,-87.56747
KA1503000021,1,9,false,2,3,1,41.77888,-87.58665
KA1503000054,1,9,false,1,3,2,41.78061,-87.60582
15491,1,9,false,1,1,0,41.78096,-87.57624
KA1503000033,1,9,false,2,1,-1,41.78411,-87.61329
426,1,9,false,5,4,-1,41.7851,-87.60108
KA1503000014,1,9,false,10,14,4,41.7851,-87.60108
KA1503000070,1,9,false,4,2,-2,41.78794,-87.58831
328,1,9,false,1,9,8,41.78872,-87.6013
TA1309000011,1,9,false,5,18,13,41.78873,-87.60131
423,1,9,false,5,5,0,41.79148,-87.59988
KA1503000071,1,9,false,6,23,17,41.79148,-87.59988
KA1503000074,1,9,false,8,1,-7,41.79174,-87.58395
TA1309000063,1,9,false,5,4,-1,41.79325,-87.5878
345,1,9,false,1,1,0,41.79326,-87.5878
559,1,9,false,1,2,1,41.79423,-87.65509
KA1504000076,1,9,false,13,5,-8,41.7943,-87.60145
TA1307000160,1,9,false,5,1,-4,41.79485,-87.61873
247,1,9,false,6,1,-5,41.79522,-87.58077
TA1308000009,1,9,false,14,13,-1,41.79522,-87.58075
TA1307000164,1,9,false,14,6,-8,41.79527,-87.59647
248,1,9,false,2,4,2,41.79528,-87.59647
KA1503000052,1,9,false,8,3,-5,41.79935,-87.60097
KA1503000059,1,9,false,20,8,-12,41.79952,-87.58643
419,1,9,false,1,1,0,41.79952,-87.58643
TA1309000037,1,9,false,9,12,3,41.79957,-87.59474
417,1,9,false,4,1,-3,41.80242,-87.5869
KA1503000007,1,9,false,13,6,-7,41.80242,-87.58689
13398,1,9,false,11,5,-6,41.80256,-87.59035
121,1,9,false,1,2,1,41.80256,-87.59035
TA1309000067,1,9,false,4,4,0,41.80303,-87.60661
322,1,9,false,3,6,3,41.80321,-87.59849
KA1503000069,1,9,false,5,1,-4,41.80579,-87.59247
KA1504000091,1,9,false,1,4,3,41.80823,-87.6772
552,1,9,false,1,1,0,41.80887,-87.66452
TA1308000035,1,9,false,2,4,2,41.80944,-87.59188
TA1308000002,1,9,false,2,7,5,41.80983,-87.59937
TA1308000007,1,9,false,2,3,1,41.80984,-87.61628
336,1,9,false,1,2,1,41.80985,-87.60675
549,1,9,false,1,1,0,41.81401,-87.66662
KA1503000065,1,9,false,5,3,-2,41.81409,-87.59701
KA1503000027,1,9,false,8,2,-6,41.81666,-87.61942
13083,1,9,false,2,1,-1,41.82167,-87.62153
355,1,9,false,1,1,0,41.82217,-87.63032
TA1308000038,1,9,false,1,7,6,41.82298,-87.6071
15449,1,9,false,1,2,1,41.82302,-87.62657
16932,1,9,false,2,1,-1,41.82346,-87.66558
179,1,9,false,2,2,0,41.82458,-87.61678
13420,1,9,false,1,2,1,41.82459,-87.61678
KA1503000068,1,9,false,1,2,1,41.82878,-87.68062
KA1503000066,1,9,false,2,2,0,41.83011,-87.67031
TA1308000043,1,9,false,2,1,-1,41.83066,-87.64715
15446,1,9,false,2,2,0,41.83068,-87.65603
TA1307000129,1,9,false,6,4,-2,41.83104,-87.62683
KA1503000004,1,9,false,7,2,-5,41.83127,-87.6088
13345,1,9,false,1,8,7,41.83138,-87.61803
13216,1,9,false,1,10,9,41.83473,-87.62581
13217,1,9,false,11,3,-8,41.83488,-87.61792
13215,1,9,false,3,2,-1,41.83634,-87.6135
263,1,9,false,3,1,-2,41.8364,-87.61348
TA1308000046,1,9,false,7,4,-3,41.83779,-87.65115
