station_id,dayofweek,hour,is_member,starts,ends,diff,lat,lng
KA1503000014,1,0,false,7,4,-3,41.7851,-87.60108
TA1308000009,1,0,false,3,5,2,41.79522,-87.58075
TA1309000001,1,0,false,5,5,0,41.86488,-87.64708
TA1305000002,1,0,false,6,12,6,41.86721,-87.62597
KA1706005007,1,0,false,5,6,1,41.86749,-87.63219
SL-005,1,0,false,8,3,-5,41.8679,-87.62304
TA1309000010,1,0,false,4,5,1,41.87074,-87.62574
SL-011,1,0,false,4,7,3,41.87256,-87.63356
623,1,0,false,12,18,6,41.87272,-87.62399
SL-007,1,0,false,4,7,3,41.87404,-87.6277
15541,1,0,false,9,6,-3,41.8758,-87.62086
TA1305000010,1,0,false,12,7,-5,41.87623,-87.62444
TA1305000035,1,0,false,9,2,-7,41.87716,-87.62787
KA1503000015,1,0,false,2,12,10,41.87948,-87.6257
13300,1,0,false,15,9,-6,41.88097,-87.61675
13008,1,0,false,24,36,12,41.88105,-87.62408
TA1305000006,1,0,false,3,7,4,41.88122,-87.6296
13001,1,0,false,15,17,2,41.88397,-87.62459
TA1305000030,1,0,false,9,2,-7,41.88459,-87.63178
TA1305000029,1,0,false,10,6,-4,41.88466,-87.62787
13263,1,0,false,5,4,-1,41.88467,-87.61952
13021,1,0,false,1,5,4,41.88559,-87.64184
TA1307000111,1,0,false,5,2,-3,41.88582,-87.63548
TA1305000011,1,0,false,6,8,2,41.886,-87.62418
TA1308000029,1,0,false,3,10,7,41.88673,-87.62225
TA1307000131,1,0,false,5,10,5,41.88688,-87.62606
13050,1,0,false,7,10,3,41.88919,-87.62775
TA1306000013,1,0,false,10,2,-8,41.89083,-87.61852
TA1307000117,1,0,false,9,17,8,41.89144,-87.62675
TA1305000003,1,0,false,10,3,-7,41.89187,-87.62061
13022,1,0,false,1,6,5,41.89227,-87.61205
TA1306000029,1,0,false,3,6,3,41.89256,-87.61449
13045,1,0,false,4,7,3,41.89403,-87.62931
13016,1,0,false,2,8,6,41.89431,-87.62277
13034,1,0,false,2,5,3,41.89754,-87.62352
13042,1,0,false,5,8,3,41.90097,-87.62377
KA1504000133,1,0,false,6,3,-3,41.90234,-87.62773
TA1309000024,1,0,false,1,7,6,41.908,-87.63152
TA1305000041,1,0,false,5,15,10,41.9094,-87.67769
LP-,1,0,false,1,5,4,41.92396,-87.63584
TA1309000019,1,0,false,6,13,7,41.92586,-87.63897
TA1308000001,1,0,false,1,5,4,41.92627,-87.63086
13124,1,0,false,5,5,0,41.92675,-87.63444
TA1307000142,1,0,false,8,8,0,41.93125,-87.64432
TA1307000052,1,0,false,9,2,-7,41.93628,-87.65266
13278,1,0,false,5,1,-4,41.94553,-87.64644
13045,1,0,true,6,1,-5,41.89403,-87.62931
TA1307000039,1,0,true,1,6,5,41.90294,-87.63137
TA1308000049,1,0,true,4,5,1,41.90672,-87.6349
TA1309000024,1,0,true,2,5,3,41.908,-87.63152
TA1306000026,1,0,true,6,4,-2,41.92558,-87.65842
13325,1,0,true,5,4,-1,41.94907,-87.64863
TA1307000164,1,1,false,1,5,4,41.79527,-87.59647
TA1305000002,1,1,false,3,13,10,41.86721,-87.62597
